nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Habitaciones,Baños,Planta,Antigüedad,Referencia,Ascensor,Calefacción,Superficie útil,Exterior,Conservación,Gastos de comunidad,Tipo suelo,Carpintería exterior,Aire acondicionado,Cocina equipada,Comedor,Portero automático,Orientación,Soleado,Trastero,Balcón,Terraza,Se aceptan mascotas,Armarios empotrados,Carpintería interior,Vidrios dobles,Teléfono,Garaje,Puerta blindada,Sistema de seguridad,Adaptado a personas con movilidad reducida,Jardín,Lavadero,Piscina,Interior,Amueblado,Chimenea,Agua,Superficie solar,Gas,Luz,Tipo de casa,Urbanizado,Calle alumbrada,Calle asfaltada
Apartamento en Carrer de Còrsega,Engel & Völkers MMC Barcelona,6.250 €/m²,475.000 €,76 m²,https://www.pisos.com/comprar/apartamento-la_nova_esquerra_de_eixample08029-51748730107_101800/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),76 m²,2,1,,Más de 50 años,IF76306-I-00Z0VI-W-02YCL1,N/A,Central,,,,,,,,,,,,,,,N/A,,,,,,1,,,,,N/A,,,,,,,,,,,,
Dúplex en Passatge de Nogués,M TORNÉ REAL ESTATE,6.000 €/m²,480.000 €,80 m²,https://www.pisos.com/comprar/duplex-el_camp_en_grassot_gracia_nova08025-48354250653_100500/,Anuncio actualizado el 13/12/2024,"B, B","B, B",barcelona_capital (BCN),80 m²,4,3,Bajo,Menos de 5 años,SA5248-MT - PSNOG2 bis 1,N/A,Eléctrica,75 m²,N/A,A estrenar,Entre 60 y 80 €,Parquet,,Frío,Cocina americana,,,,,,,,,1,,N/A,,,N/A,N/A,N/A,,N/A,,,,,,,,,,,,
Piso en Carrer del Pintor Fortuny,ETHIC REAL ESTATE,3.873 €/m²,550.000 €,142 m²,https://www.pisos.com/comprar/piso-el_raval08001-51755625099_100500/,Anuncio actualizado el 11/02/2025,"G, F","G, F",barcelona_capital (BCN),142 m²,4,2,1ª,Más de 50 años,SA4866-874/9037,N/A,Gas natural,131 m²,,,Más de 100 €,,,,,,,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,N/A,,,,,,,
Piso en Carrer de Llull,Llarcelona,5.471 €/m²,580.000 €,106 m²,https://www.pisos.com/comprar/piso-sant_marti_el_poblenou08005-49250943914_100500/,Anuncio actualizado el 17/12/2024,"E, E","E, E",barcelona_capital (BCN),106 m²,4,2,2ª,Entre 30 y 50 años,SA2024-Llar1469/4463,N/A,,90 m²,,,,Parquet,,N/A,,,,,,,N/A,N/A,,1,,,,,,,,,,,,,,N/A,,,,,,,
Piso en Carrer del Torrent de les Flors,ETHIC REAL ESTATE,5.609 €/m²,460.000 €,82 m²,https://www.pisos.com/comprar/piso-el_camp_en_grassot_gracia_nova08024-50065576450_100500/,Anuncio actualizado el 03/12/2024,"E, E","E, E",barcelona_capital (BCN),82 m²,3,1,1ª,Más de 50 años,SA4866-850/9037,N/A,Gas natural,71 m²,,,Más de 100 €,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,N/A,,,,,,,
Piso en Verdun,TU SOLUCION INMOBILIARIA - VIA JULIA,5.365 €/m²,220.000 €,41 m²,https://www.pisos.com/comprar/piso-verdun-49188515601_100500/,Anuncio actualizado el 18/02/2025,"G, F","G, F",barcelona_capital (BCN),41 m²,2,1,1ª,Más de 50 años,SA604-TS2-3237/1968,,,40 m²,,,,Parquet,,,,,,Oeste,,,,N/A,,,,,,,N/A,,,,,,,,,,,,,,,,
Ático en Rambla de Catalunya,Engel & Völkers MMC Barcelona,8.063 €/m²,1.790.000 €,222 m²,https://www.pisos.com/comprar/atico-la_dreta_de_eixample08007-39218508632_101800/,Anuncio actualizado el 21/05/2024,"F, E","F, E",barcelona_capital (BCN),222 m²,3,3,9ª,Más de 50 años,IF76306-I-00WAAY-W-02MIE0,N/A,Central,,,,,,,,N/A,,,,,,,N/A,,1,,,,,,,,,N/A,,,,,,,,,,,,
Apartamento en Passeig del Taulat,Engel & Völkers MMC Barcelona,11.000 €/m²,1.100.000 €,100 m²,https://www.pisos.com/comprar/apartamento-diagonal_mar_el_front_maritim_del_poblenou08019-45012864300_101800/,Anuncio actualizado el 15/07/2024,"E, D","E, D",barcelona_capital (BCN),100 m²,3,2,3ª,Entre 10 y 20 años,IF76306-I-00YDUJ-W-02W1S3,N/A,Central,,,,,,,,N/A,,,,,N/A,,N/A,,1,,,,1,,,,,N/A,Propia,,,,,,,,,,,
Dúplex en El Camp d'en Grassot-Gràcia Nova,Engel & Völkers MMC Barcelona,5.181 €/m²,399.000 €,77 m²,https://www.pisos.com/comprar/duplex-el_camp_en_grassot_gracia_nova08024-43426442177_101800/,Anuncio actualizado el 18/10/2024,"A, A","A, A",barcelona_capital (BCN),77 m²,2,2,,Menos de 5 años,IF76306-I-00Y6ME-W-02VFDL,N/A,,,,,,,,,N/A,,,,,,,N/A,,,,,,,,,,,,Propia,,,,,,,,,,,
Piso en Carrer d'Hostafrancs,CORNEX CAPITAL,4.500 €/m²,369.000 €,82 m²,https://www.pisos.com/comprar/piso-sants_montjuic_hostafrancs08014-50919417177_108900/,Anuncio actualizado el 23/01/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),82 m²,4,1,2ª,,XA597-V-HOSTAFRANCS01,N/A,N/A,,N/A,En buen estado,,,,N/A,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Dúplex en Carrer Gran de Gràcia,Llarcelona,3.793 €/m²,990.000 €,261 m²,https://www.pisos.com/comprar/duplex-la_vila_de_gracia08012-45859787482_100500/,Anuncio actualizado el 18/02/2025,"E, E","E, E",barcelona_capital (BCN),261 m²,4,3,3ª,Entre 5 y 10 años,SA2024-Llar1407/4463,N/A,N/A,230 m²,,,Entre 80 y 100 €,Gres,,,,,,,,N/A,,,,1,,,,,,,,,,,,,,N/A,,,,,,,
Piso en Carrer de Ferrer de Blanes,Llarcelona,5.202 €/m²,489.000 €,94 m²,https://www.pisos.com/comprar/piso-la_vila_de_gracia08012-45853387834_100500/,Anuncio actualizado el 24/01/2025,"E, D","E, D",barcelona_capital (BCN),94 m²,3,2,1ª,Más de 50 años,SA2024-Llar1405/4463,N/A,N/A,80 m²,,,Entre 80 y 100 €,Parquet,,N/A,,,,Suroeste,,,N/A,,,,,,,,N/A,,,,,,,,N/A,N/A,,,,,,,
"Piso en Carrer de la Metal·lúrgia, 34",SAM GRUPO M,Error al procesar precio m²,225.500 €,1,https://www.pisos.com/comprar/piso-la_marina_del_prat_vermell_zona_franca_port08038-5172972992_109700/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),,1,1,1ª,,SA4980-21698269,N/A,,,,A estrenar,,Parquet,,Frío y calor,N/A,,,,,N/A,,N/A,,,,,,N/A,,,,,,,,,,,,,,,,,
Piso en Carrer de Ramon Turró,GUIMAR CONSULTING,5.533 €/m²,830.000 €,150 m²,https://www.pisos.com/comprar/piso-la_vila_olimpica_del_poblenou08005-49226850835_100500/,Anuncio actualizado el 19/02/2025,"E, E","E, E",barcelona_capital (BCN),150 m²,4,3,4ª,Entre 30 y 50 años,SA4468-GC02381/10008,N/A,,140 m²,,,Más de 100 €,Parquet,,,,,,,,,,N/A,,,,,,,,,,N/A,,Comunitaria,,,,,,,,,,,
Piso en Carrer de Pallars,ETHIC REAL ESTATE,5.112 €/m²,449.900 €,88 m²,https://www.pisos.com/comprar/piso-provencals_del_poblenou08019-51703324069_100500/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),88 m²,3,2,1ª,Entre 10 y 20 años,SA4866-873/9037,N/A,N/A,,,,Más de 100 €,,,N/A,,,,,,N/A,,,,,,,,1,N/A,,,,,,,,,N/A,,,,,,,
Dúplex en Avinguda d'Icària,CORNEX CAPITAL,6.407 €/m²,865.000 €,135 m²,https://www.pisos.com/comprar/duplex-la_vila_olimpica_del_poblenou08005-51749152919_108900/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),135 m²,2,2,,,XA597-V-DESLITE-A01,,N/A,,N/A,En buen estado,,,,N/A,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Sicília,FINCADOR,5.729 €/m²,699.000 €,122 m²,https://www.pisos.com/comprar/piso-la_sagrada_familia08013-48371594259_995255/,Anuncio actualizado el 20/02/2025,"F, E","F, E",barcelona_capital (BCN),122 m²,3,2,4ª,Más de 50 años,4995255-va.sic,N/A,Central,112 m²,N/A,En buen estado,,Gres,PVC,Frío y calor,N/A,N/A,,,N/A,,N/A,N/A,,,N/A,N/A,,1,N/A,N/A,N/A,,,,,N/A,,,,N/A,,,,,
Piso en Les Tres Torres,DCANO Real Estate Agency,6.510 €/m²,1.250.000 €,192 m²,https://www.pisos.com/comprar/piso-sant_gervasi_la_bonanova08022-51765469936_100500/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),192 m²,4,3,7ª,,SA5856-DC506/9085,N/A,,165 m²,,,,Parquet,,N/A,,N/A,,,,,N/A,,,1,,,N/A,,,,,,,,,,,N/A,,,,,,,
Apartamento en Carrer de Sepúlveda,Engel & Völkers MMC Barcelona,6.578 €/m²,625.000 €,95 m²,https://www.pisos.com/comprar/apartamento-eixample_sant_antoni08015-50002735912_101800/,Anuncio actualizado el 23/12/2024,"E, E","E, E",barcelona_capital (BCN),95 m²,2,3,5ª,Más de 50 años,IF76306-I-00YWZ0-W-02Y681,N/A,Central,,,,,,,,,,,,,,,N/A,,1,,,,,,,,,N/A,,,,,,,,,,,,
Piso en La Prosperitat,Estudi Independencia Sl,3.322 €/m²,319.000 €,96 m²,https://www.pisos.com/comprar/piso-la_prosperitat08016-49241429367_100200/,Anuncio actualizado el 18/02/2025,"G, G","G, G",barcelona_capital (BCN),96 m²,4,2,3ª,Entre 30 y 50 años,TC1012-602065,N/A,,,,En buen estado,,Gres,,N/A,N/A,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,
Piso en Baró de Viver,"ESTUDI GRAN DE SANT ANDREU, S.L.",2.529 €/m²,215.000 €,85 m²,https://www.pisos.com/comprar/piso-baro_de_viver-51686890203_100200/,Anuncio actualizado el 17/02/2025,"E, E","E, E",barcelona_capital (BCN),85 m²,3,1,,Entre 30 y 50 años,TC315-609730,,,,,En buen estado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Salvador Espriu,HORIZON INMOBILIARIA BARCELONA,5.720 €/m²,1.390.000 €,243 m²,https://www.pisos.com/comprar/piso-la_vila_olimpica_del_poblenou08005-51670098498_524526/,Anuncio actualizado el 18/02/2025,"D, D","D, D",barcelona_capital (BCN),243 m²,7,4,6ª,Entre 30 y 50 años,4524526-HIB-VILAOLIMPICA,N/A,,230 m²,N/A,En buen estado,,Parquet,Aluminio,Frío y calor,N/A,N/A,N/A,Sur,N/A,N/A,N/A,N/A,N/A,Más de 2,N/A,N/A,N/A,1,N/A,,N/A,Comunitario,N/A,,,,,,,,,,,,
Piso en Carrer de l'Hort de la Bomba,TORESFA,3.956 €/m²,189.900 €,48 m²,https://www.pisos.com/comprar/piso-el_raval08001-49235631537_992878/,Anuncio actualizado el 08/01/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),48 m²,1,1,3ª,Más de 50 años,992878-P 08001211124,N/A,,42 m²,,En buen estado,,Gres,Aluminio,,N/A,N/A,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer d'Enric Casanovas,Don Casa,3.529 €/m²,180.000 €,51 m²,https://www.pisos.com/comprar/piso-la_prosperitat08016-48392735180_500869/,Anuncio actualizado el 07/02/2025,"E, E","E, E",barcelona_capital (BCN),51 m²,1,1,1ª,Entre 20 y 30 años,500869-BVGH1054,,,42 m²,N/A,En buen estado,,,,,N/A,N/A,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Mallorca,CORNEX CAPITAL,7.912 €/m²,720.000 €,91 m²,https://www.pisos.com/comprar/piso-la_dreta_de_eixample08008-51738116627_108900/,Anuncio actualizado el 19/02/2025,"E, E","E, E",barcelona_capital (BCN),91 m²,2,1,1ª,,XA597-MALLORCA-1.2,,,,N/A,A reformar,,,,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer dels Banys Nous,FINCADOR,6.182 €/m²,575.000 €,93 m²,https://www.pisos.com/comprar/piso-el_barri_gotic08002-44245402239_101800/,Anuncio actualizado el 20/02/2025,"A, A","A, A",barcelona_capital (BCN),93 m²,2,2,3ª,,IF76237-143VE41NB23,N/A,Central,,,,,,,,N/A,,,,,,,,,,,,,,N/A,,,,,,,N/A,,,,,,,,,
Ático en Passeig del Taulat,Engel & Völkers MMC Barcelona,17.857 €/m²,2.500.000 €,140 m²,https://www.pisos.com/comprar/atico-diagonal_mar_el_front_maritim_del_poblenou08019-43333848412_101800/,Anuncio actualizado el 10/07/2024,"B, B","B, B",barcelona_capital (BCN),140 m²,3,2,11ª,Entre 10 y 20 años,IF76306-I-00SX76-W-02BJ4K,N/A,Central,,,,,,,,N/A,,,,,,,N/A,,1,,,,1,,,,,N/A,Propia,,,,,,,,,,,
Piso en Banys Nous - Basilica de Santa Maria del Pi,LIVING Luxury Real Estate. Barcelona,3.798 €/m²,680.000 €,179 m²,https://www.pisos.com/comprar/piso-el_barri_gotic08002-45904136620_109100/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),179 m²,4,2,4ª,,FE42-286083,N/A,N/A,157 m²,Exterior calle,,Más de 100 €,Parket,Madera,,,,,Norte,Por la mañana,,N/A,,,,,,,,,,,,,,,,,,,Otra compañía,,,,,
Piso en Carrer de Sant Martí,SIMURBA,3.645 €/m²,175.000 €,48 m²,https://www.pisos.com/comprar/piso-el_raval08001-50057968327_990014/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),48 m²,1,1,Entresuelo,Más de 50 años,4990014-2695 E2,,,45 m²,N/A,En buen estado,,,Madera,,Americana,N/A,,Sureste,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Carreras,FINCAS EVA,5.916 €/m²,1.130.000 €,191 m²,https://www.pisos.com/comprar/piso-pedralbes08034-48341493063_109300/,Anuncio actualizado el 17/02/2025,"D, D","D, D",barcelona_capital (BCN),191 m²,2,2,1ª,Entre 10 y 20 años,EP918-FE3426,N/A,Gas natural,102 m²,N/A,En buen estado,130,Cerámica o gress,N/A,N/A,Independiente,,,Sur::oeste,,N/A,,,,N/A,,,,,,,,,,N/A,,,,,,,,,,,
Piso en Sant Antoni,HOMES BY GESTILAR,6.666 €/m²,540.000 €,81 m²,https://www.pisos.com/comprar/piso-eixample_sant_antoni08015-50852782975_108900/,Anuncio actualizado el 22/01/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),81 m²,3,2,Bajo,,XA780-H0800337-3,N/A,,73 m²,,Reformado,,,,,,,,Sur,,,N/A,,,,,,,,,,,N/A,,,,,,,,,,,,,
Apartamento en Passeig de García Fària,Engel & Völkers MMC Barcelona,13.214 €/m²,1.850.000 €,140 m²,https://www.pisos.com/comprar/apartamento-diagonal_mar_el_front_maritim_del_poblenou08019-43338239411_101800/,Anuncio actualizado el 21/05/2024,"D, C","D, C",barcelona_capital (BCN),140 m²,3,2,11ª,Entre 10 y 20 años,IF76306-I-00QMU0-W-025OQO,N/A,Central,,,,,,,,N/A,,,,,,,N/A,,,,,,1,,,,,N/A,Propia,,,,,,,,,,,
Piso en Carrer de Canet,REALINVEST ESTUDI JURÍDIC I IMMOBILIARI,6.666 €/m²,800.000 €,120 m²,https://www.pisos.com/comprar/piso-sarria_sant_gervasi_sarria08017-50927762595_528760/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),120 m²,4,2,3ª,,4528760-220,N/A,Central,110 m²,N/A,Reformado,,,,,,,,,N/A,,N/A,,,Más de 2,,,,1,,,,,,,,N/A,,,,,,,,,
Piso en Carrer del Pintor Fortuny,Llarcelona,3.626 €/m²,515.000 €,142 m²,https://www.pisos.com/comprar/piso-el_raval08001-51714254397_100500/,Anuncio actualizado el 19/02/2025,"G, F","G, F",barcelona_capital (BCN),142 m²,4,2,1ª,Más de 50 años,SA2024-Llar1533/4463,N/A,N/A,131 m²,,,Más de 100 €,Parquet,,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,N/A,,,,,,,
Apartamento en La Font d'en Fargues,Engel & Völkers MMC Barcelona,4.242 €/m²,420.000 €,99 m²,https://www.pisos.com/comprar/apartamento-la_font_en_fargues08032-51709928821_101800/,Anuncio actualizado el 11/02/2025,"E, E","E, E",barcelona_capital (BCN),99 m²,2,1,,Más de 50 años,IF76306-I-00YZS6-W-02U51W,,Central,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Apartamento en Sant Gervasi-Galvany,Engel & Völkers MMC Barcelona,7.608 €/m²,875.000 €,115 m²,https://www.pisos.com/comprar/apartamento-sant_gervasi_galvany08021-51707398635_101800/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),115 m²,1,1,,Entre 30 y 50 años,IF76306-I-00Z18B-W-02YCW8,N/A,,,,,,,,,,,,,,,,N/A,,1,,,,,,,,,,,,,,,,,,,,,
Casa en Can Baró,Engel & Völkers MMC Barcelona,5.500 €/m²,2.750.000 €,500 m²,https://www.pisos.com/comprar/casa-can_baro08024-51763341604_101800/,Anuncio actualizado el 14/02/2025,"A, A","A, A",barcelona_capital (BCN),500 m²,7,7,,Menos de 5 años,IF76306-I-00Z1E6-W-02YSMU,,Central,,,,,,,,N/A,,,,,N/A,,N/A,,,,,,1,,,,,N/A,Propia,,N/A,,,,,,,,,
Piso en La Barceloneta,TECNOCASA BARCELONETA-MERCAT,5.625 €/m²,180.000 €,32 m²,https://www.pisos.com/comprar/piso-ciutat_vella_la_barceloneta08003-50928953761_100200/,Anuncio actualizado el 17/02/2025,"F, E","F, E",barcelona_capital (BCN),32 m²,2,1,5ª,Más de 50 años,TC547-605702,,,,,En buen estado,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer Riera Blanca,CORNEX CAPITAL,4.846 €/m²,475.000 €,98 m²,https://www.pisos.com/comprar/piso-la_maternitat_sant_ramon08028-20865277012_108900/,Anuncio actualizado el 04/01/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),98 m²,3,2,2ª,,XA597-V-RIERA-E1-24,N/A,N/A,83 m²,N/A,En buen estado,,,,N/A,,,,,,,N/A,N/A,,,,,,,,,,,N/A,N/A,,,,,,,,,,,
Piso en Carrer de la Princesa,FINCADOR,7.066 €/m²,530.000 €,75 m²,https://www.pisos.com/comprar/piso-sant_pere_santa_caterina_la_ribera08003-51743720367_995255/,Anuncio actualizado el 20/02/2025,"G, E","G, E",barcelona_capital (BCN),75 m²,2,2,4ª,Más de 50 años,4995255-PVPRINCESA,N/A,,74 m²,N/A,En buen estado,,Parquet,Madera,,N/A,N/A,,,N/A,,,,,,N/A,N/A,,,N/A,N/A,,,,,,N/A,,,,,,,,,
Piso en Vilapicina I La Torre Llobeta,TU SOLUCION INMOBILIARIA - VIA JULIA,3.977 €/m²,358.000 €,90 m²,https://www.pisos.com/comprar/piso-vilapicina_la_torre_llobeta08031-51727318124_100500/,Anuncio actualizado el 17/02/2025,"E, E","E, E",barcelona_capital (BCN),90 m²,3,1,1ª,Más de 50 años,SA604-TS2-3246/1968,N/A,N/A,82 m²,,,,Gres,,,,,,Noroeste,,,N/A,,,,,,,,N/A,,,,,,,,,,,,,,,,
Apartamento en El Barri Gòtic,Engel & Völkers MMC Barcelona,4.702 €/m²,475.000 €,101 m²,https://www.pisos.com/comprar/apartamento-el_barri_gotic08002-44214664040_101800/,Anuncio actualizado el 17/02/2025,"E, E","E, E",barcelona_capital (BCN),101 m²,3,2,2ª,,IF76306-I-00Y8XB-W-02VBFK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Sants,LA CASA AGENCY PUNT POBLE SEC REAL ESTATE,3.936 €/m²,185.000 €,47 m²,https://www.pisos.com/comprar/piso-sants_montjuic_sants08028-49247242330_101800/,Anuncio actualizado el 18/02/2025,"F, G","F, G",barcelona_capital (BCN),47 m²,2,1,,Más de 50 años,IF77106-LCB33164-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ático en Sant Gervasi-Galvany,Engel & Völkers MMC Barcelona,8.064 €/m²,1.250.000 €,155 m²,https://www.pisos.com/comprar/atico-sant_gervasi_galvany08021-4905194975_109700/,Anuncio actualizado el 04/12/2024,"A, A","A, A",barcelona_capital (BCN),155 m²,3,2,,,IF76306-D-000AT7,,,,,A estrenar,,,,Frío y calor,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Provença,FINCADOR,6.393 €/m²,780.000 €,122 m²,https://www.pisos.com/comprar/piso-antiga_esquerra_de_eixample08008-50075436142_995255/,Anuncio actualizado el 20/02/2025,"D, D","D, D",barcelona_capital (BCN),122 m²,4,2,2ª,Entre 30 y 50 años,4995255-P 08008151124,N/A,Gas natural,115 m²,N/A,En buen estado,,Parquet,PVC,Frío y calor,N/A,N/A,,,,,N/A,,,1,N/A,N/A,,,N/A,N/A,N/A,,N/A,,,N/A,,,,N/A,,,,,
Piso en Avinguda Diagonal,HORIZON INMOBILIARIA BARCELONA,6.909 €/m²,760.000 €,110 m²,https://www.pisos.com/comprar/piso-provencals_del_poblenou08018-51704743397_524526/,Anuncio actualizado el 18/02/2025,"E, E","E, E",barcelona_capital (BCN),110 m²,3,2,6ª,Entre 20 y 30 años,4524526-HIB-DIAGONAL,N/A,Gas natural,106 m²,N/A,En buen estado,,Parquet,Aluminio,Frío y calor,N/A,N/A,N/A,Sur,N/A,N/A,N/A,N/A,N/A,Más de 2,N/A,N/A,,1,N/A,,N/A,Comunitario,N/A,Comunitaria,,,,,,N/A,,,,,
Piso en Carrer de la Mare de Déu dels Reis,CORNEX CAPITAL,3.319 €/m²,790.000 €,238 m²,https://www.pisos.com/comprar/piso-vallcarca_els_penitents08023-51696928857_108900/,Anuncio actualizado el 19/02/2025,"D, D","D, D",barcelona_capital (BCN),238 m²,5,3,,,XA597-V-VALLCARCA-03,N/A,N/A,,N/A,A reformar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Via Laietana,Assessors Dupre I Fernandez,5.603 €/m²,1.300.000 €,232 m²,https://www.pisos.com/comprar/piso-el_barri_gotic08002-49259967849_100500/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),232 m²,4,4,3ª,Más de 50 años,SA5063-7ALVA23/11035,N/A,Gas natural,213 m²,,,,Parquet,,,,,,Este,,,N/A,,,,,,,,,,,,,,,,,N/A,,,,,,,
"Ático en Carrer dels Carders, 9",COMFI HOMES BARCELONA,5.980 €/m²,299.000 €,50 m²,https://www.pisos.com/comprar/atico-sant_pere_santa_caterina_la_ribera08003-48420515690_108900/,Anuncio actualizado el 18/02/2025,"E, D","E, D",barcelona_capital (BCN),50 m²,1,1,5ª,,XA869-COMFI 113817,,,44 m²,N/A,,,,,N/A,,,,,,,,37,,N/A,,,,,,,,,,,,,,N/A,,,,,,,
Piso en Carrer de Galileu,GUIMAR CONSULTING,4.636 €/m²,255.000 €,55 m²,https://www.pisos.com/comprar/piso-les_corts_barrio08014-49217449839_100500/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),55 m²,3,1,2ª,Más de 50 años,SA4468-GC02346/10008,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Apartamento en Passeig de Colom,Engel & Völkers MMC Barcelona,6.224 €/m²,610.000 €,98 m²,https://www.pisos.com/comprar/apartamento-el_barri_gotic08002-43337056134_101800/,Anuncio actualizado el 21/05/2024,"G, G","G, G",barcelona_capital (BCN),98 m²,2,2,1ª,Entre 20 y 30 años,IF76306-I-00Y431-W-02UR02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento en La Dreta de l'Eixample,Engel & Völkers MMC Barcelona,7.765 €/m²,1.025.000 €,132 m²,https://www.pisos.com/comprar/apartamento-la_dreta_de_eixample08013-46733786295_101800/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),132 m²,3,2,7ª,Más de 50 años,IF76306-I-00YIDG-W-02WKSX,N/A,Central,,,,,,,,N/A,,,,,N/A,,,,,,,,,,,,,N/A,,,,,,,,,,,,
Apartamento en Carrer de Casp,Engel & Völkers MMC Barcelona,10.342 €/m²,1.810.000 €,175 m²,https://www.pisos.com/comprar/apartamento-la_dreta_de_eixample08010-35859259264_101800/,Anuncio actualizado el 21/05/2024,"C, D","C, D",barcelona_capital (BCN),175 m²,3,2,1ª,Más de 50 años,IF76306-I-00X9ZZ-W-02NX53,N/A,Central,,,,,,,,N/A,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Piso en El Camp de L´Arpa del Clot,Cambra de la Propietat Urbana de Barcelona,4.461 €/m²,290.000 €,65 m²,https://www.pisos.com/comprar/piso-el_camp_de_arpa_del_clot08026-51711448614_100500/,Anuncio actualizado el 20/02/2025,"C, C","C, C",barcelona_capital (BCN),65 m²,2,1,4ª,Más de 50 años,SA954-2076v/4327,,Gas natural,,,,Entre 40 y 60 €,Tarima maciza,,,,,,Norte,,,N/A,,,,,,,,,,,,,,,,,N/A,,,,,,,
Ático en Carrer d'Avinyó,Engel & Völkers MMC Barcelona,4.985 €/m²,339.000 €,68 m²,https://www.pisos.com/comprar/atico-el_barri_gotic08002-36713813306_101800/,Anuncio actualizado el 21/05/2024,"E, E","E, E",barcelona_capital (BCN),68 m²,3,1,5ª,,IF76306-I-00XCUN-W-02T3ZT,N/A,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Lima,NUEVACASA,3.200 €/m²,192.000 €,60 m²,https://www.pisos.com/comprar/piso-el_bon_pastor08030-45915228716_993019/,Anuncio actualizado el 07/02/2025,"F, G","F, G",barcelona_capital (BCN),60 m²,3,1,4ª,Entre 30 y 50 años,"4993019-NC1937,  PISO VENTA",,,57 m²,N/A,En buen estado,Entre 20 y 40 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento en La Salut,Engel & Völkers MMC Barcelona,3.543 €/m²,287.000 €,81 m²,https://www.pisos.com/comprar/apartamento-gracia_la_salut08024-45061896903_101800/,Anuncio actualizado el 16/01/2025,"F, F","F, F",barcelona_capital (BCN),81 m²,2,1,,Más de 50 años,IF76306-I-00YD6U-W-02W7HC,N/A,Central,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Apartamento en El Putxet-El Farró,Engel & Völkers MMC Barcelona,6.884 €/m²,895.000 €,130 m²,https://www.pisos.com/comprar/apartamento-el_putxet_el_farro08006-51744749681_101800/,Anuncio actualizado el 20/02/2025,"D, C","D, C",barcelona_capital (BCN),130 m²,2,2,4ª,Entre 20 y 30 años,IF76306-I-00Z1AX-W-02YL7T,N/A,,,,,,,,,,,,,,,,N/A,,,,,,1,,,,,,,,,,,,,,,,,
